,M10,M12,M14,M15,M16,M17,M18,M19,M2,M20,M21,M23,M24,M25,M26,M27,M28,M29,M3,M30,M31,M33,M35,M36,M37,M38,M39,M4,M40,M41,M43,M44,M45,M46,M47,M48,M5,M6,M7,M8,M9,P10,P12,P14,P15,P16,P17,P18,P19,P2,P20,P21,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P33,P35,P36,P37,P38,P39,P4,P40,P41,P43,P44,P45,P46,P47,P48,P5,P6,P7,P8,P9
13.86416667,0.635747084,0,0,0,0,0,0,0,1.832166624,0,0,0.92615043,0,0,0,0,0,0.106661181,0,0.881303105,0.888969171,0,0,0.21840371,0.683049335,0,0,0,0.215437096,0.425920263,0,0,0.718422724,1.394251289,0,0,0,0,0,0,0,0,0,0,0,0.302273246,0,0,0,0,0,0,0.287887804,0,0,0,0.755940021,0,0,0,1.764152836,1.675080221,0.593422687,0,0,0,0.846112137,0.15826353,0,1.114832305,0,0,0,0.238420699,0.252759919,0,0,0,0,2.719535561,0,0
14.05666667,0,0.981292093,0,0,0,0,0,0,1.418222912,0,0,0.977504187,0.341855404,0,0,0,0.267226595,0.358504191,0,1.246923258,0.747441933,0,0,0.3949046,0,0,0.696408686,0,0,0,0,0,0.88533161,0.673767064,0,0,0,0,0,0,0,0,0,0,0,0.367956199,0,0,0,0,0,0,0.990011517,0,0,0,0,0.630035151,0.276735439,0,0.643030354,0,0.246626058,0,0,0,2.421933017,0.160410728,0,0,0,0,1.328739518,0.255620751,0.996171722,0.587887547,0,0,0,0,0,0
14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478642389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133627564,0.281116324,0,0,0,0,0,0,0
14.29833333,0,0,0,0,0,0,0,0,0,0,0,0,0.386396655,0,0,0,0,0.116582318,0,0,0,0.34268824,0,0,0,0,0,0,0,0,0,0,0,0.278965869,0,0.447215849,0,0.661581677,0,0,0,0,0,0,0,0.282821921,0,0,0.589069979,0,0,0,0,0,0,0,0,0,0.168036371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15291051,0.339262954,0,0.148607197,0,0,0,0,0
14.37,0,0,0,0,0,0,0,0,0,0,0,0,0.340492081,0,0,0,0,0.102673155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571643917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.52461538,0,0,0,0,0,0,0,0.119577158,1.654535888,0,0,0.995501214,0.552001896,0,0,0,0,0.098476118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227095834,0,0.946902236,0,0,0,0,0,0,0,0.160168908,0,0,0,0,0,0,0.474792512,0,0,0,0,0,0.16434301,0,0,0,0.314142358,0,0,0,0,0,0,0,0,0,0,0.2008911,0.316796511,0,0,0,0,0,0,0
14.58888889,0,0,0,0,0,0,0,0,0.660446238,0,0,0.411325944,0,0,0,0,0.331158498,0,0,0,0,0,0,0,0,0,0,2.019053667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143771205,0,0,0,0,0,0,0,0,0,0.988070161,0,0,0,0,0,0,0.42363935,0,1.682589121,0,0,0.345429224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.64409091,0,0,0,0,0,0,0,0,1.494778036,0,0.769494759,0.903545219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343818228,0,0,0,0,0,0,0.168118498,0,0,0,0,0,0,0,0,0,0,0,0.176030939,0,0,0,0,0,0,0.60012776,0,0,0,0,0,0,0,0,0.376113763,0,0,0,0,0,0,0,0,0,0,0,0.11700249,0.212886898,0,0,0,0,0,0,0.803813005
14.6988,1.204891352,1.197341898,0,0,1.819920495,0,2.829285878,0.914122124,0,0,2.029178013,0,0,2.248303591,0.872753611,0.635292476,0.318494502,0,0,1.079420437,1.949122151,2.171676398,1.476042102,0,0.931792062,1.616261449,1.054543082,0,0.166032555,0.56881193,1.854384887,1.222524508,1.025667477,0,2.916410059,0,0.993692995,0,2.91964469,0,0.867923481,1.408543062,1.206068632,0,0.787594096,1.837649861,1.885759295,0,0,0,0,0.802929005,0,1.036300746,3.239585142,1.509585852,0.688550835,0,0,0,1.39564066,2.080197788,2.151276384,2.01950265,1.76497958,0,2.117203958,0.623467735,0,0,0.742897274,0.763704442,1.912126089,1.733315542,0,1.131351331,0.901484329,0,2.765735476,0,0,0
15.11,0,0,0,0,0,0,0,0.315990982,0,0,0,0,0,0,0,0,0,0,0,0,0.86765403,0,0,0,0,0,0.662945561,0,0,0,0,0,0,0,0,0.579479708,0,0,0,0,0,0,0.608325293,0,0,0.520971547,0,0,0,0,0,0,0,0.596028417,0,0,0,0,0,0,0.627949237,1.180088432,1.067948716,0.76070329,0,0,0.534364948,0.24913411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.20823529,0,0,0,0,0,0,1.985492147,0,0,0,0,0,0,0,0,0,0,0,0,0.824977191,1.479884137,0,0.652256893,0.251635355,0,1.619494323,1.049026732,0,0,0,0,0,0.304215425,0,0,0,0,0,0,0,0,0,0.848409902,0,0,0,0,0,0,0,0,0.333174074,0,0,0,0,0,0,0,0,1.332308704,2.760302977,0,2.242521158,1.374548319,0,1.076388192,0.551487572,0,0,0,0,0,0,0,0,0,0,0.917146117,0,0,0
15.2425,0,0,0,0,0,0,0,0,1.334453544,0,0,0.362962356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083166735,0.154323956,0,0,0,0,0,0,0
15.30333333,0,0,0,0,0,0,0,0,0.664506953,0,0,0.294319405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174354366,0.321814213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258209324,0,0,0,0,0,0,0,0,0,0,0,0,0,2.198519105,0.10204029,0,0,0,0,0,0.160890147,0.310222364,0,0,0,0,0,0,0
15.375625,0,0,0,0,0,0,0,0,0,0,0,0,0.412436985,0,0,0,0,0,0,0,0.810393876,0.38285082,0,0.128780807,0,0.881526625,0.622702529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.697205509,0,0,0.237524764,0,0,0,0,0,0,0.191055887,0,0,0,0,0,0,0,0,1.115141632,1.2399191,1.011442197,0.790610304,0,0.880611224,0.248968647,0,0,0,0,0,0.159682269,0,0,0,0,0,0,0,0
