Ind1,Ind2,QG
P4,P19,0.1498
P4,M26,0.1080
P4,P26,0.2237
P4,M27,0.1634
P4,P27,0.1352
P4,M28,0.0528
P4,P28,0.3030
P4,M29,0.1774
P4,P29,0.0378
P4,M37,0.1638
P4,P37,0.0316
P4,M40,0.1149
P4,P40,0.1874
P4,M41,0.1652
P4,P41,0.2328
P4,M43,0.1123
P4,P43,0.1987
P4,M44,0.0675
P4,P44,0.1451
P4,M45,0.1817
P4,P45,0.1387
P4,M46,0.0261
P4,P46,0.1568
P4,M47,0.0872
P4,P47,0.1513
P4,M48,0.0239
P4,P48,0.0906
P4,M6,0.1320
P4,P6,0.1616
P4,M7,0.1966
P4,P7,0.1657
P4,M8,0.2906
P4,P8,0.0930
P4,M10,0.0535
P4,P10,0.2024
P4,M12,0.1018
P4,P12,0.0448
P4,M14,0.2846
P4,P14,0.2081
P4,M16,0.2977
P4,P16,0.2540
P4,M17,0.1680
P4,P17,0.0590
P4,M18,-0.0106
P4,P18,0.0585
P4,M20,0.1628
P4,P20,0.1780
P4,M21,0.1510
P4,P21,0.1768
P4,M23,0.1224
P4,P23,0.0010
P4,M24,0.0409
P4,P24,0.0959
P4,M25,0.2231
P4,P25,0.2227
P4,M30,0.1850
P4,P30,0.0813
P4,M31,0.0508
P4,P31,0.0043
P4,M33,0.2043
P4,P33,0.1133
P4,M35,0.1614
P4,P35,-0.0005
M5,P5,0.5640
M5,M9,0.2087
M5,P9,0.2916
M5,M15,0.0867
M5,P15,0.0843
M5,M19,0.2109
M5,P19,0.3030
M5,M26,0.0391
M5,P26,0.0259
M5,M27,0.1071
M5,P27,0.0641
M5,M28,0.1428
M5,P28,0.2307
M5,M29,0.1900
M5,P29,0.2007
M5,M37,0.0982
M5,P37,0.1212
M5,M40,0.1852
M5,P40,0.1487
M5,M41,0.2005
M5,P41,0.2947
M5,M43,0.0978
M5,P43,0.3274
M5,M44,0.2169
M5,P44,0.0269
M5,M45,0.2394
M5,P45,0.1986
M5,M46,0.0817
M5,P46,-0.0456
M5,M47,0.0253
M5,P47,-0.0507
M5,M48,0.0966
M5,P48,0.0760
M5,M6,-0.0143
M5,P6,0.0822
M5,M7,0.0603
M5,P7,0.0031
M5,M8,0.0490
M5,P8,-0.1027
M5,M10,0.1489
M5,P10,0.0738
M5,M12,0.0996
M5,P12,0.1654
M5,M14,-0.0385
M5,P14,0.1547
M5,M16,0.1225
M5,P16,0.0155
M5,M17,0.0932
M5,P17,-0.0042
M5,M18,0.1155
M5,P18,0.0071
M5,M20,0.0669
M5,P20,0.1985
M5,M21,0.0724
M5,P21,0.1882
M5,M23,0.0786
M5,P23,-0.0069
M5,M24,0.0486
M5,P24,0.0159
M5,M25,0.1570
M5,P25,0.2734
M5,M30,0.3077
M5,P30,0.2845
M5,M31,0.0152
M5,P31,0.0589
M5,M33,0.1417
M5,P33,0.0780
M5,M35,0.1480
M5,P35,0.0009
P5,M9,0.2314
P5,P9,0.3137
P5,M15,0.0943
P5,P15,0.0527
P5,M19,0.1292
P5,P19,0.1959
P5,M26,-0.1274
P5,P26,-0.0220
P5,M27,0.1026
P5,P27,0.0730
P5,M28,0.1484
P5,P28,0.1245
P5,M29,0.2013
P5,P29,0.1980
P5,M37,0.1342
P5,P37,0.1787
P5,M40,0.2963
P5,P40,0.1639
P5,M41,0.1695
P5,P41,0.2155
P5,M43,0.1158
P5,P43,0.1283
P5,M44,0.0439
P5,P44,0.1171
P5,M45,0.2590
P5,P45,0.0992
P5,M46,0.1026
P5,P46,-0.0550
P5,M47,0.0751
P5,P47,-0.0377
P5,M48,0.1223
P5,P48,0.3844
P5,M6,0.1825
P5,P6,0.0307
P5,M7,0.1127
P5,P7,0.2024
P5,M8,0.0759
P5,P8,0.0572
P5,M10,0.1637
P5,P10,0.0504
P5,M12,0.0712
P5,P12,0.0583
P5,M14,-0.0998
P5,P14,0.0974
P5,M16,0.1080
P5,P16,0.1741
P5,M17,0.1119
P5,P17,0.2287
P5,M18,0.1353
P5,P18,0.2145
P5,M20,0.1991
P5,P20,0.3153
P5,M21,0.0104
P5,P21,0.0917
P5,M23,0.1468
P5,P23,0.2199
P5,M24,0.1459
P5,P24,0.0848
P5,M25,0.1995
P5,P25,0.2136
P5,M30,0.2516
P5,P30,0.2503
P5,M31,-0.0902
P5,P31,0.0641
P5,M33,0.1526
P5,P33,0.0718
P5,M35,0.1178
P5,P35,0.1037
M9,P9,0.5882
M9,M15,0.2443
M9,P15,0.1312
M9,M19,0.0956
M9,P19,0.0925
M9,M26,-0.0456
M9,P26,0.0829
M9,M27,0.1914
M9,P27,0.2603
M9,M28,0.1833
M9,P28,0.2113
M9,M29,0.1092
M9,P29,0.1370
M9,M37,0.0341
M9,P37,0.0838
M9,M40,0.0227
M9,P40,-0.0243
M9,M41,0.0550
M9,P41,0.0620
M9,M43,0.0639
M9,P43,0.1742
M9,M44,-0.0064
M9,P44,-0.0967
M9,M45,0.2485
M9,P45,0.0760
M9,M46,0.1639
M9,P46,0.0470
M9,M47,0.0256
M9,P47,0.0005
M9,M48,0.0756
M9,P48,0.1227
M9,M6,0.2195
M9,P6,0.1085
M9,M7,0.0538
M9,P7,0.0748
M9,M8,0.1453
M9,P8,0.1511
M9,M10,0.0099
M9,P10,0.0539
M9,M12,0.2001
M9,P12,-0.0536
M9,M14,0.0575
M9,P14,0.0827
M9,M16,-0.0105
M9,P16,0.0214
M9,M17,0.1926
M9,P17,0.1341
M9,M18,0.0498
M9,P18,-0.0580
M9,M20,0.1309
M9,P20,0.0535
M9,M21,0.0482
M9,P21,0.1325
M9,M23,0.1000
M9,P23,0.0968
M9,M24,0.1250
M9,P24,0.0942
M9,M25,0.1676
M9,P25,0.0634
M9,M30,0.1397
M9,P30,-0.1022
M9,M31,-0.0088
M9,P31,0.0907
M9,M33,0.1853
M9,P33,0.1394
M9,M35,0.2010
M9,P35,-0.0381
P9,M15,0.2129
P9,P15,0.1262
P9,M19,0.1795
P9,P19,0.1515
P9,M26,0.0924
P9,P26,0.1719
P9,M27,0.1532
P9,P27,0.1114
P9,M28,0.1149
P9,P28,0.0415
P9,M29,0.0644
P9,P29,0.0845
P9,M37,0.1640
P9,P37,0.1529
P9,M40,0.1767
P9,P40,0.1438
P9,M41,0.1693
P9,P41,0.1715
P9,M43,0.0355
P9,P43,0.1538
P9,M44,0.0361
P9,P44,-0.0380
P9,M45,0.2891
P9,P45,0.1479
P9,M46,0.2348
P9,P46,0.1531
P9,M47,0.1041
P9,P47,0.0615
P9,M48,0.1214
P9,P48,0.0836
P9,M6,0.0810
P9,P6,0.1736
P9,M7,0.1538
P9,P7,0.2047
P9,M8,0.1093
P9,P8,0.0455
P9,M10,0.0588
P9,P10,0.0777
P9,M12,0.1746
P9,P12,0.0910
P9,M14,0.1290
P9,P14,0.0513
P9,M16,0.0445
P9,P16,0.0371
P9,M17,0.2836
P9,P17,0.1834
P9,M18,0.0609
P9,P18,0.0557
P9,M20,0.0050
P9,P20,-0.0315
P9,M21,0.0922
P9,P21,0.2225
P9,M23,0.1629
P9,P23,0.1386
P9,M24,0.1201
P9,P24,0.0581
P9,M25,0.1030
P9,P25,0.2859
P9,M30,0.2744
P9,P30,0.0589
P9,M31,0.0005
P9,P31,-0.0364
P9,M33,0.0619
P9,P33,0.0331
P9,M35,0.1747
P9,P35,-0.0061
M15,P15,0.5457
M15,M19,0.0535
M15,P19,-0.0120
M15,M26,0.1103
M15,P26,0.1070
M15,M27,0.2115
M15,P27,0.0429
M15,M28,0.1268
M15,P28,0.1027
M15,M29,0.1184
M15,P29,0.1032
M15,M37,-0.0943
M15,P37,0.0830
M15,M40,-0.1449
M15,P40,-0.0751
M15,M41,0.0893
M15,P41,0.1034
M15,M43,0.1262
M15,P43,0.1389
M15,M44,0.1690
M15,P44,0.0371
M15,M45,0.1188
M15,P45,0.0165
M15,M46,0.0706
M15,P46,0.0063
M15,M47,-0.0111
M15,P47,-0.1353
M15,M48,-0.0041
M15,P48,0.0684
M15,M6,0.2413
M15,P6,0.1568
M15,M7,0.1430
M15,P7,0.1146
M15,M8,0.0051
M15,P8,0.0639
M15,M10,0.1425
M15,P10,0.0594
M15,M12,0.1118
M15,P12,0.0410
M15,M14,-0.1163
M15,P14,0.0808
M15,M16,-0.0210
M15,P16,-0.0079
M15,M17,0.1272
M15,P17,0.0610
M15,M18,0.2373
M15,P18,0.1277
M15,M20,0.0931
M15,P20,-0.0015
M15,M21,0.0001
M15,P21,0.0406
M15,M23,0.1196
M15,P23,0.1700
M15,M24,0.1881
M15,P24,0.0914
M15,M25,0.1036
M15,P25,0.0453
M15,M30,0.0888
M15,P30,0.2005
M15,M31,0.1174
M15,P31,0.1206
M15,M33,0.1167
M15,P33,0.1171
M15,M35,0.1502
M15,P35,0.0093
P15,M19,0.0657
P15,P19,0.0856
P15,M26,0.1232
P15,P26,0.1032
P15,M27,0.2520
P15,P27,0.0992
P15,M28,0.1354
P15,P28,0.2080
P15,M29,0.0341
P15,P29,0.0479
P15,M37,0.1049
P15,P37,0.1395
P15,M40,0.1173
P15,P40,0.1068
P15,M41,0.1495
P15,P41,0.0879
P15,M43,0.2642
